t_start,t_end,window_size,N,logM,logMmax,I,rules,method,combo_dir,seed_base,run_timestamp,window_size_seconds
1471006861,1471611661,604800,839,4777.73617158469,4777.73617158469,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1471611661,1472216461,604800,860,4917.711625594051,4917.711625594051,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1472216461,1472821261,604800,841,4773.757702586846,4773.757702586846,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1472821261,1473426061,604800,791,4448.048329962239,4448.048329962239,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1473426061,1474030861,604800,816,4617.654429688774,4617.654429688774,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1474030861,1474635661,604800,869,4978.863833133682,4978.863833133682,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1474635661,1475240461,604800,848,4823.012480912773,4823.012480912773,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1475240461,1475845261,604800,748,4171.9631840722,4171.9631840722,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1475845261,1476450061,604800,761,4259.496649527935,4259.496649527935,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1476450061,1477054861,604800,791,4451.2263837925875,4451.2263837925875,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1477054861,1477659661,604800,773,4333.263547346096,4333.263547346096,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1477659661,1478264461,604800,697,3836.2198872155873,3836.2198872155873,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1478264461,1478869261,604800,774,4341.994560761367,4341.994560761367,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1478869261,1479474061,604800,726,4030.851027287883,4030.851027287883,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1479474061,1480078861,604800,651,3545.309334832004,3545.309334832004,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1480078861,1480683661,604800,753,4203.2784439965335,4203.2784439965335,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1480683661,1481288461,604800,798,4493.867989361801,4493.867989361801,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1481288461,1481893261,604800,778,4364.742542174541,4364.742542174541,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1481893261,1482498061,604800,831,4711.892890743138,4711.892890743138,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1482498061,1483102861,604800,682,3744.525914978599,3744.525914978599,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1483102861,1483707661,604800,679,3717.9059753751803,3717.9059753751803,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1483707661,1484312461,604800,634,3428.7415782227886,3428.7415782227886,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1484312461,1484917261,604800,686,3773.7009350164726,3773.7009350164726,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1484917261,1485522061,604800,681,3728.87218893782,3728.87218893782,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1485522061,1486126861,604800,742,4132.972016191518,4132.972016191518,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1486126861,1486731661,604800,711,3920.5697747115582,3920.5697747115582,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1486731661,1487336461,604800,737,4103.809975402217,4103.809975402217,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1487336461,1487941261,604800,808,4557.291961417212,4557.291961417212,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1487941261,1488546061,604800,703,3874.3142402541735,3874.3142402541735,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1488546061,1489150861,604800,727,4032.9933886096055,4032.9933886096055,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1489150861,1489755661,604800,759,4244.842403375674,4244.842403375674,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1489755661,1490360461,604800,772,4324.53382675583,4324.53382675583,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1490360461,1490965261,604800,743,4135.99919329778,4135.99919329778,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1490965261,1491570061,604800,681,3731.64477766006,3731.64477766006,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1491570061,1492174861,604800,702,3868.452030542923,3868.452030542923,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1492174861,1492779661,604800,695,3824.108581397504,3824.108581397504,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1492779661,1493384461,604800,683,3746.3702786110457,3746.3702786110457,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1493384461,1493989261,604800,679,3718.3114404832886,3718.3114404832886,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1493989261,1494594061,604800,676,3697.367706433758,3697.367706433758,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1494594061,1495198861,604800,670,3662.0462157240413,3662.0462157240413,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1495198861,1495803661,604800,704,3875.0381590934003,3875.0381590934003,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1495803661,1496408461,604800,610,3275.314044407484,3275.314044407484,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1496408461,1497013261,604800,659,3591.647294939077,3591.647294939077,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1497013261,1497618061,604800,709,3915.9911695497517,3915.9911695497517,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1497618061,1498222861,604800,686,3768.7311217168963,3768.7311217168963,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1498222861,1498827661,604800,651,3536.46832052152,3536.46832052152,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1498827661,1499432461,604800,608,3265.0914568680505,3265.0914568680505,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1499432461,1500037261,604800,718,3977.4961809771908,3977.4961809771908,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1500037261,1500642061,604800,690,3781.006234104458,3781.006234104458,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1500642061,1501246861,604800,701,3860.7473688490895,3860.7473688490895,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1501246861,1501851661,604800,672,3674.372096020976,3674.372096020976,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1501851661,1502456461,604800,632,3415.5513767737557,3415.5513767737557,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1502456461,1503061261,604800,692,3802.519509086219,3802.519509086219,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1503061261,1503666061,604800,661,3599.5456922787157,3599.5456922787157,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1503666061,1504270861,604800,642,3482.2062595845086,3482.2062595845086,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1504270861,1504875661,604800,627,3389.155649791445,3389.155649791445,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1504875661,1505480461,604800,635,3445.017046785177,3445.017046785177,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1505480461,1506085261,604800,683,3746.775743719154,3746.775743719154,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1506085261,1506690061,604800,731,4056.1847675533554,4056.1847675533554,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1506690061,1507294861,604800,662,3610.435406989325,3610.435406989325,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1507294861,1507899661,604800,694,3821.148188490395,3821.148188490395,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1507899661,1508504461,604800,614,3309.4197827156263,3309.4197827156263,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1508504461,1509109261,604800,690,3790.8280776679535,3790.8280776679535,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1509109261,1509714061,604800,683,3745.101767285582,3745.101767285582,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1509714061,1510318861,604800,664,3620.827774443543,3620.827774443543,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1510318861,1510923661,604800,686,3760.1256734777253,3760.1256734777253,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1510923661,1511528461,604800,594,3181.3326593000643,3181.3326593000643,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1511528461,1512133261,604800,643,3496.7024884030134,3496.7024884030134,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1512133261,1512738061,604800,635,3431.324002210774,3431.324002210774,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1512738061,1513342861,604800,612,3298.255399285115,3298.255399285115,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1513342861,1513947661,604800,646,3506.5760754586518,3506.5760754586518,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1513947661,1514552461,604800,526,2750.6085454738454,2750.6085454738454,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1514552461,1515157261,604800,514,2682.195120475987,2682.195120475987,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1515157261,1515762061,604800,664,3630.2441528989307,3630.2441528989307,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1515762061,1516366861,604800,561,2967.5999996315154,2967.5999996315154,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1516366861,1516971661,604800,661,3600.4744055305882,3600.4744055305882,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1516971661,1517576461,604800,606,3258.798759892516,3258.798759892516,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1517576461,1518181261,604800,653,3560.062715992435,3560.062715992435,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1518181261,1518786061,604800,659,3596.0938600948884,3596.0938600948884,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1518786061,1519390861,604800,648,3515.768894474254,3515.768894474254,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1519390861,1519995661,604800,627,3384.5913015999768,3384.5913015999768,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1519995661,1520600461,604800,599,3207.22380524989,3207.22380524989,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1520600461,1521205261,604800,571,3034.578160835912,3034.578160835912,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1521205261,1521810061,604800,619,3329.707368116976,3329.707368116976,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1521810061,1522414861,604800,609,3270.810127955201,3270.810127955201,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1522414861,1523019661,604800,537,2827.6815136149503,2827.6815136149503,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1523019661,1523624461,604800,602,3227.518199573618,3227.518199573618,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1523624461,1524229261,604800,621,3356.196924730215,3356.196924730215,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1524229261,1524834061,604800,646,3512.8144000836915,3512.8144000836915,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1524834061,1525438861,604800,590,3152.329527026614,3152.329527026614,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1525438861,1526043661,604800,602,3226.8250523930583,3226.8250523930583,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1526043661,1526648461,604800,586,3121.1562660582003,3121.1562660582003,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1526648461,1527253261,604800,609,3276.9306695445844,3276.9306695445844,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1527253261,1527858061,604800,565,2995.3037847063247,2995.3037847063247,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1527858061,1528462861,604800,613,3300.9203462458,3300.9203462458,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1528462861,1529067661,604800,634,3437.0593443895077,3437.0593443895077,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1529067661,1529672461,604800,599,3213.985378018694,3213.985378018694,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1529672461,1530277261,604800,589,3150.108287573074,3150.108287573074,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1530277261,1530882061,604800,518,2707.471094331352,2707.471094331352,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1530882061,1531486861,604800,614,3306.6471939933867,3306.6471939933867,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1531486861,1532091661,604800,598,3204.4120625902306,3204.4120625902306,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1532091661,1532696461,604800,595,3186.0472442720384,3186.0472442720384,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1532696461,1533301261,604800,528,2760.947617728757,2760.947617728757,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1533301261,1533906061,604800,619,3337.7906967257622,3337.7906967257622,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1533906061,1534510861,604800,607,3263.127847141896,3263.127847141896,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1534510861,1535115661,604800,629,3402.447786322721,3402.447786322721,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1535115661,1535720461,604800,642,3470.76255558858,3470.76255558858,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1535720461,1536325261,604800,551,2908.947809315723,2908.947809315723,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1536325261,1536930061,604800,587,3132.5011041776042,3132.5011041776042,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1536930061,1537534861,604800,606,3258.105612711956,3258.105612711956,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
1537534861,1538139661,604800,602,3225.8442231400463,3225.8442231400463,1.0,__IDENTITY__,Unshuffled,out\Unshuffled,42,2026-02-20T01:37:29.392114Z,604800
